date_id,calendar_date,year,quarter,quarter_name,month,month_name,day,day_of_week,day_name,week_of_year,is_weekend,is_month_end
20240101,2024-01-01,2024,1,Q1 2024,1,January,1,1,Monday,1,False,False
20240102,2024-01-02,2024,1,Q1 2024,1,January,2,2,Tuesday,1,False,False
20240103,2024-01-03,2024,1,Q1 2024,1,January,3,3,Wednesday,1,False,False
20240104,2024-01-04,2024,1,Q1 2024,1,January,4,4,Thursday,1,False,False
20240105,2024-01-05,2024,1,Q1 2024,1,January,5,5,Friday,1,False,False
20240106,2024-01-06,2024,1,Q1 2024,1,January,6,6,Saturday,1,True,False
20240107,2024-01-07,2024,1,Q1 2024,1,January,7,7,Sunday,1,True,False
20240108,2024-01-08,2024,1,Q1 2024,1,January,8,1,Monday,2,False,False
20240109,2024-01-09,2024,1,Q1 2024,1,January,9,2,Tuesday,2,False,False
20240110,2024-01-10,2024,1,Q1 2024,1,January,10,3,Wednesday,2,False,False
20240111,2024-01-11,2024,1,Q1 2024,1,January,11,4,Thursday,2,False,False
20240112,2024-01-12,2024,1,Q1 2024,1,January,12,5,Friday,2,False,False
20240113,2024-01-13,2024,1,Q1 2024,1,January,13,6,Saturday,2,True,False
20240114,2024-01-14,2024,1,Q1 2024,1,January,14,7,Sunday,2,True,False
20240115,2024-01-15,2024,1,Q1 2024,1,January,15,1,Monday,3,False,False
20240116,2024-01-16,2024,1,Q1 2024,1,January,16,2,Tuesday,3,False,False
20240117,2024-01-17,2024,1,Q1 2024,1,January,17,3,Wednesday,3,False,False
20240118,2024-01-18,2024,1,Q1 2024,1,January,18,4,Thursday,3,False,False
20240119,2024-01-19,2024,1,Q1 2024,1,January,19,5,Friday,3,False,False
20240120,2024-01-20,2024,1,Q1 2024,1,January,20,6,Saturday,3,True,False
20240121,2024-01-21,2024,1,Q1 2024,1,January,21,7,Sunday,3,True,False
20240122,2024-01-22,2024,1,Q1 2024,1,January,22,1,Monday,4,False,False
20240123,2024-01-23,2024,1,Q1 2024,1,January,23,2,Tuesday,4,False,False
20240124,2024-01-24,2024,1,Q1 2024,1,January,24,3,Wednesday,4,False,False
20240125,2024-01-25,2024,1,Q1 2024,1,January,25,4,Thursday,4,False,False
20240126,2024-01-26,2024,1,Q1 2024,1,January,26,5,Friday,4,False,False
20240127,2024-01-27,2024,1,Q1 2024,1,January,27,6,Saturday,4,True,False
20240128,2024-01-28,2024,1,Q1 2024,1,January,28,7,Sunday,4,True,False
20240129,2024-01-29,2024,1,Q1 2024,1,January,29,1,Monday,5,False,False
20240130,2024-01-30,2024,1,Q1 2024,1,January,30,2,Tuesday,5,False,False
20240131,2024-01-31,2024,1,Q1 2024,1,January,31,3,Wednesday,5,False,True
20240201,2024-02-01,2024,1,Q1 2024,2,February,1,4,Thursday,5,False,False
20240202,2024-02-02,2024,1,Q1 2024,2,February,2,5,Friday,5,False,False
20240203,2024-02-03,2024,1,Q1 2024,2,February,3,6,Saturday,5,True,False
20240204,2024-02-04,2024,1,Q1 2024,2,February,4,7,Sunday,5,True,False
20240205,2024-02-05,2024,1,Q1 2024,2,February,5,1,Monday,6,False,False
20240206,2024-02-06,2024,1,Q1 2024,2,February,6,2,Tuesday,6,False,False
20240207,2024-02-07,2024,1,Q1 2024,2,February,7,3,Wednesday,6,False,False
20240208,2024-02-08,2024,1,Q1 2024,2,February,8,4,Thursday,6,False,False
20240209,2024-02-09,2024,1,Q1 2024,2,February,9,5,Friday,6,False,False
20240210,2024-02-10,2024,1,Q1 2024,2,February,10,6,Saturday,6,True,False
20240211,2024-02-11,2024,1,Q1 2024,2,February,11,7,Sunday,6,True,False
20240212,2024-02-12,2024,1,Q1 2024,2,February,12,1,Monday,7,False,False
