well_id,well_name,operator,field_name,basin,state,county,target_formation,well_type,lateral_length_ft,latitude,longitude,spud_date,completion_date,status,initial_oil_potential_bopd
WELL-0001,Reeves 6-9H,EOG Resources,Permian South,Permian Basin,TX,Reeves,Wolfcamp A,Horizontal,9750,32.41671,-103.84613,2023-12-06,2024-05-13,Producing,1254
WELL-0002,Midland 28-13,Devon Energy,Permian West,Permian Basin,TX,Midland,Spraberry,Directional,10550,31.94215,-102.97667,2023-08-01,2024-04-08,Shut-in,1599
WELL-0003,McKenzie 1-25H,Marathon Oil,Bakken Central,Bakken,ND,McKenzie,Three Forks,Horizontal,9100,48.38438,-102.66462,2023-02-08,2024-02-09,Producing,1177
WELL-0004,Midland 23-33,ConocoPhillips,Permian North,Permian Basin,TX,Midland,Spraberry,Vertical,0,31.49912,-102.53088,2024-04-15,2024-09-04,Producing,500
WELL-0005,La Salle 5-11H,Occidental,Eagle East,Eagle Ford,TX,La Salle,Eagle Ford,Horizontal,8150,28.71317,-97.89819,2023-11-09,2024-02-22,Producing,1402
WELL-0006,Karnes 26-30H,Devon Energy,Eagle West,Eagle Ford,TX,Karnes,Austin Chalk,Horizontal,7100,29.17167,-97.90178,2024-02-25,2024-05-05,Shut-in,676
WELL-0007,Karnes 26-30H,Occidental,Eagle Central,Eagle Ford,TX,Karnes,Austin Chalk,Horizontal,8300,29.01993,-98.52516,2023-06-09,2024-01-04,Shut-in,760
WELL-0008,Weld 3-8,Coterra,DJ West,DJ Basin,CO,Weld,Niobrara,Vertical,0,40.60691,-104.58376,2024-02-16,2024-04-26,Producing,481
WELL-0009,Reeves 4-9,Marathon Oil,Permian East,Permian Basin,TX,Reeves,Spraberry,Directional,10450,31.49841,-102.58962,2024-01-26,2024-05-22,Producing,715
WELL-0010,Adams 21-32,EOG Resources,DJ North,DJ Basin,CO,Adams,Codell,Directional,7050,40.58585,-104.85063,2024-04-14,2024-08-17,Producing,788
WELL-0011,Martin 28-2H,Coterra,Permian West,Permian Basin,TX,Martin,Spraberry,Horizontal,11900,31.39411,-102.61284,2023-10-28,2024-02-06,Producing,1125
WELL-0012,La Salle 23-28H,Coterra,Eagle North,Eagle Ford,TX,La Salle,Eagle Ford,Horizontal,9900,28.59764,-97.87417,2023-10-03,2024-04-27,Shut-in,679
WELL-0013,Weld 35-34,EOG Resources,DJ Central,DJ Basin,CO,Weld,Niobrara,Vertical,0,40.71582,-104.54457,2024-02-05,2024-06-25,Producing,1511
WELL-0014,Dunn 24-32H,Devon Energy,Bakken East,Bakken,ND,Dunn,Three Forks,Horizontal,9000,48.17102,-103.66338,2024-03-02,2024-04-25,Shut-in,368
WELL-0015,Adams 34-8,Diamondback,DJ West,DJ Basin,CO,Adams,Codell,Directional,11550,40.02024,-104.02854,2023-03-18,2024-03-22,Producing,1162
WELL-0016,Martin 20-5,Marathon Oil,Permian East,Permian Basin,TX,Martin,Spraberry,Directional,7050,32.11393,-102.61527,2023-05-21,2024-04-15,Producing,1287
WELL-0017,Howard 16-12,EOG Resources,Permian West,Permian Basin,TX,Howard,Bone Spring,Vertical,0,31.35315,-101.61824,2023-12-15,2024-03-03,Producing,555
WELL-0018,La Salle 37-1,Coterra,Eagle East,Eagle Ford,TX,La Salle,Eagle Ford,Vertical,0,29.04042,-97.4008,2023-02-20,2024-03-15,Producing,1036
WELL-0019,Lea 2-9H,Devon Energy,Delaware East,Delaware Basin,NM,Lea,Wolfcamp A,Horizontal,8350,32.49031,-103.29863,2023-11-14,2024-01-24,Producing,899
WELL-0020,McKenzie 6-31H,EOG Resources,Bakken Central,Bakken,ND,McKenzie,Middle Bakken,Horizontal,8200,48.09042,-103.35831,2023-06-21,2024-02-23,Shut-in,1436
WELL-0021,Eddy 33-8,Occidental,Delaware North,Delaware Basin,NM,Eddy,Avalon,Directional,11750,32.60464,-103.63993,2023-07-19,2024-04-09,Producing,1306
WELL-0022,Midland 34-20H,Coterra,Permian West,Permian Basin,TX,Midland,Wolfcamp B,Horizontal,10100,31.58857,-101.53756,2023-02-04,2024-01-22,Producing,458
WELL-0023,Lea 35-3H,Pioneer Natural,Delaware West,Delaware Basin,NM,Lea,Bone Spring,Horizontal,11650,32.32624,-103.88146,2023-10-28,2024-03-17,Producing,403
