production_id,well_id,date_id,oil_bbl,gas_mcf,water_bbl,downtime_hours,choke_size_64ths,tubing_pressure_psi,casing_pressure_psi
1,WELL-0001,20240513,1188.0,3399.6,1057.1,0.0,40,2338,853
2,WELL-0001,20240514,1227.3,3455.3,1094.8,0.0,20,2096,843
3,WELL-0001,20240515,1178.8,3390.2,1054.0,0.0,40,2017,932
4,WELL-0001,20240516,1227.9,3481.5,1100.6,0.0,32,2238,912
5,WELL-0001,20240517,1141.0,2875.5,1025.2,0.0,28,2097,938
6,WELL-0001,20240518,1313.0,3660.4,1182.6,0.0,28,2331,918
7,WELL-0001,20240519,1188.3,3239.9,1072.8,0.0,28,2295,913
8,WELL-0001,20240520,1143.2,3128.2,1034.6,0.0,64,2063,865
9,WELL-0001,20240521,1205.1,3399.8,1093.2,0.0,20,2318,871
10,WELL-0001,20240522,1285.5,3553.0,1168.9,0.0,20,2309,859
11,WELL-0001,20240523,1207.6,3522.9,1100.8,0.0,36,2038,902
12,WELL-0001,20240524,1180.3,3204.1,1078.4,0.0,20,2304,904
13,WELL-0001,20240525,1128.2,3123.5,1033.4,0.0,40,2237,689
14,WELL-0001,20240526,1098.6,3021.4,1008.7,0.0,24,2380,1030
15,WELL-0001,20240527,1151.4,3322.1,1059.7,0.0,28,2327,785
16,WELL-0001,20240528,1065.7,2983.4,983.1,0.0,64,1997,868
17,WELL-0001,20240529,1145.4,3175.8,1059.3,0.0,64,2250,860
18,WELL-0001,20240530,1030.8,2813.9,955.5,0.0,32,2103,955
19,WELL-0001,20240531,998.7,2932.6,928.0,0.0,64,2314,924
20,WELL-0001,20240601,1090.5,2942.7,1015.8,0.0,48,2020,934
21,WELL-0001,20240602,1054.3,2968.6,984.4,0.0,24,2329,932
22,WELL-0001,20240603,1053.2,2848.2,985.8,0.0,32,2187,894
23,WELL-0001,20240604,1175.9,3312.9,1103.3,0.0,24,2222,847
24,WELL-0001,20240605,1046.0,3055.4,983.7,0.0,40,2098,1042
25,WELL-0001,20240606,1058.5,2743.1,997.9,0.0,36,2154,877
26,WELL-0001,20240607,957.8,2841.7,905.1,0.0,28,2000,1006
27,WELL-0001,20240608,1004.2,3025.8,951.2,0.0,64,2286,925
28,WELL-0001,20240609,1016.9,2914.8,965.6,0.0,24,2278,880
29,WELL-0001,20240610,1049.4,2854.4,998.9,0.0,24,2162,950
30,WELL-0001,20240611,975.8,2513.1,931.1,0.0,28,2203,673
31,WELL-0001,20240612,1092.7,2985.1,1045.1,0.0,64,2154,861
32,WELL-0001,20240613,1043.4,2942.2,1000.4,0.0,24,2079,817
33,WELL-0001,20240614,915.6,2496.9,879.9,0.0,48,2051,796
34,WELL-0001,20240615,993.3,2744.5,956.9,0.0,36,2132,891
35,WELL-0001,20240616,1036.4,2954.8,1000.8,0.0,64,2030,787
36,WELL-0001,20240617,933.4,2512.4,903.5,0.0,20,2134,867
37,WELL-0001,20240618,901.3,2488.4,874.5,0.0,40,1957,794
38,WELL-0001,20240619,980.6,2583.9,953.7,0.0,20,2230,840
39,WELL-0001,20240620,1004.1,2961.9,979.0,0.0,40,2094,930
40,WELL-0001,20240621,920.8,2781.0,899.9,0.0,48,2029,865
41,WELL-0001,20240622,956.4,2734.8,936.9,0.0,24,2098,832
42,WELL-0001,20240623,1002.0,2805.5,984.0,0.0,24,1901,859
43,WELL-0001,20240624,957.6,2823.5,942.7,0.0,40,2069,863
44,WELL-0001,20240625,891.8,2426.0,879.9,0.0,48,2306,876
45,WELL-0001,20240626,848.8,2452.8,839.6,0.0,40,2189,779
46,WELL-0001,20240627,935.3,2667.7,927.4,0.0,28,2084,781
47,WELL-0001,20240628,931.9,2825.4,926.2,0.0,64,2055,921
48,WELL-0001,20240629,891.1,2430.3,887.8,0.0,48,2171,994
49,WELL-0001,20240630,900.2,2611.2,899.0,0.0,32,2177,726
50,WELL-0001,20240701,874.3,2362.6,875.2,0.0,32,1964,1060
51,WELL-0001,20240702,924.5,2445.0,927.6,0.0,24,2329,1057
52,WELL-0001,20240703,826.8,2612.6,831.6,0.0,24,2140,1025
53,WELL-0001,20240704,921.3,2550.8,928.9,0.0,36,2263,905
54,WELL-0001,20240705,854.3,2540.1,863.5,0.0,48,2143,874
55,WELL-0001,20240706,823.8,2412.5,834.6,0.0,20,1991,762
56,WELL-0001,20240707,822.4,2395.8,835.2,0.0,20,2135,984
57,WELL-0001,20240708,824.3,2466.4,839.2,0.0,28,2318,862
58,WELL-0001,20240709,802.7,2309.4,819.1,0.0,48,2129,899
59,WELL-0001,20240710,805.6,2456.8,824.1,0.0,32,2088,970
60,WELL-0001,20240711,933.7,2655.1,957.4,0.0,36,2008,878
61,WELL-0001,20240712,787.7,2317.3,809.6,0.0,24,2143,1017
62,WELL-0001,20240713,814.6,2305.8,839.3,0.0,24,2134,976
63,WELL-0001,20240714,804.2,2262.9,830.5,0.0,64,2177,798
64,WELL-0001,20240715,831.0,2523.8,860.3,0.0,40,2239,941
65,WELL-0001,20240716,789.1,2187.7,818.9,0.0,20,2194,866
66,WELL-0001,20240717,790.7,2505.9,822.5,0.0,28,2076,781
67,WELL-0001,20240718,847.9,2665.9,884.1,0.0,36,2168,790
68,WELL-0001,20240719,797.2,2187.9,833.3,0.0,48,2055,981
69,WELL-0001,20240720,796.3,2320.2,834.3,0.0,24,2054,775
70,WELL-0001,20240721,727.3,2074.9,763.9,0.0,32,2321,890
71,WELL-0001,20240722,809.4,2688.7,852.1,0.0,36,2110,903
72,WELL-0001,20240723,758.4,2026.8,800.3,0.0,20,2192,837
73,WELL-0001,20240724,825.9,2305.0,873.7,0.0,40,2123,671
74,WELL-0001,20240725,774.9,2089.0,821.7,0.0,64,1981,912
75,WELL-0001,20240726,846.3,2362.9,899.6,0.0,40,2021,907
76,WELL-0001,20240727,730.0,2126.0,777.8,0.0,32,2174,899
77,WELL-0001,20240728,776.2,2353.8,829.0,0.0,64,2098,860
78,WELL-0001,20240729,732.9,2160.0,784.7,0.0,64,2208,1019
79,WELL-0001,20240730,809.2,2456.6,868.5,0.0,28,2312,849
80,WELL-0001,20240731,744.5,2116.4,800.9,0.0,40,2152,797
81,WELL-0001,20240801,747.3,2197.2,805.9,0.0,32,2297,799
82,WELL-0001,20240802,553.2,1664.0,598.1,6.7,40,2078,881
83,WELL-0001,20240803,780.1,2209.2,845.3,0.0,20,2090,962
84,WELL-0001,20240804,682.0,2126.2,740.8,0.0,32,2043,890
85,WELL-0001,20240805,785.0,2198.6,854.8,0.0,28,1997,808
86,WELL-0001,20240806,692.9,2046.3,756.3,0.0,64,1899,988
87,WELL-0001,20240807,744.1,1898.5,814.1,0.0,36,1973,1028
88,WELL-0001,20240808,675.7,2029.7,741.1,0.0,28,2120,997
89,WELL-0001,20240809,723.9,2048.7,795.8,0.0,32,2058,902
90,WELL-0001,20240810,742.0,2241.4,817.6,0.0,24,2083,1002
91,WELL-0001,20240811,744.3,2214.4,822.2,0.0,28,2222,974
92,WELL-0001,20240812,717.5,2155.2,794.5,0.0,36,2052,866
93,WELL-0001,20240813,695.3,1910.1,771.8,0.0,24,2135,815
94,WELL-0001,20240814,718.2,2077.5,799.1,0.0,24,2136,926
95,WELL-0001,20240815,752.6,2324.6,839.4,0.0,20,2094,727
96,WELL-0001,20240816,643.3,1731.4,719.3,0.0,28,1915,964
97,WELL-0001,20240817,675.8,1975.7,757.4,0.0,28,2018,853
98,WELL-0001,20240818,299.4,826.3,336.4,13.4,28,2017,800
99,WELL-0001,20240819,762.1,2103.7,858.2,0.0,20,2093,876
100,WELL-0001,20240820,646.6,2037.3,729.9,0.0,64,1958,996
101,WELL-0001,20240821,650.7,1864.7,736.3,0.0,32,2201,987
102,WELL-0001,20240822,708.7,1873.3,803.9,0.0,32,2020,830
103,WELL-0001,20240823,668.9,2007.9,760.5,0.0,20,2262,816
104,WELL-0001,20240824,655.9,1983.6,747.6,0.0,32,2196,889
105,WELL-0001,20240825,639.6,1871.8,730.8,0.0,64,1846,851
106,WELL-0001,20240826,697.2,2095.4,798.5,0.0,48,2070,775
107,WELL-0001,20240827,674.8,1942.5,774.7,0.0,28,2102,970
108,WELL-0001,20240828,668.8,2070.1,769.7,0.0,28,1859,861
109,WELL-0001,20240829,642.0,1681.2,740.6,0.0,40,2015,862
110,WELL-0001,20240830,655.7,1905.8,758.3,0.0,28,1908,1022
111,WELL-0001,20240831,638.7,1982.9,740.4,0.0,40,1963,820
112,WELL-0001,20240901,665.8,2055.4,773.6,0.0,40,1949,866
113,WELL-0001,20240902,666.9,1956.4,776.8,0.0,64,2117,751
114,WELL-0001,20240903,537.1,1613.4,627.1,2.6,48,1900,688
115,WELL-0001,20240904,673.0,2177.0,787.7,0.0,48,1953,866
116,WELL-0001,20240905,680.9,2015.8,798.9,0.0,40,2184,817
117,WELL-0001,20240906,627.3,1789.0,737.8,0.0,24,2127,976
118,WELL-0001,20240907,654.9,2018.3,772.1,0.0,28,2248,912
119,WELL-0001,20240908,623.6,1826.7,737.0,0.0,40,2007,802
120,WELL-0001,20240909,673.9,2018.4,798.3,0.0,40,2164,841
121,WELL-0001,20240910,652.0,2023.3,774.2,0.0,36,1934,825
122,WELL-0001,20240911,633.0,1836.7,753.5,0.0,36,1853,838
123,WELL-0001,20240912,668.1,1940.5,797.3,0.0,24,2047,777
124,WELL-0001,20240913,585.5,1773.9,700.3,0.0,48,2069,783
125,WELL-0001,20240914,620.9,1751.2,744.5,0.0,48,2188,831
126,WELL-0001,20240915,658.9,2012.3,792.0,0.0,20,2095,806
127,WELL-0001,20240916,165.2,474.5,199.0,17.3,24,2042,879
128,WELL-0001,20240917,630.2,1823.9,761.1,0.0,28,1834,826
129,WELL-0001,20240918,628.8,1891.7,761.3,0.0,32,1925,938
130,WELL-0001,20240919,557.8,1654.2,677.0,0.0,28,2133,810
131,WELL-0001,20240920,12.1,35.9,14.7,23.5,32,2174,950
132,WELL-0001,20240921,586.6,1750.0,715.4,0.0,36,1920,1081
133,WELL-0001,20240922,595.0,1870.6,727.4,0.0,24,1948,850
134,WELL-0001,20240923,650.0,1872.3,796.6,0.0,20,2142,758
135,WELL-0001,20240924,572.3,1803.7,703.0,0.0,32,2151,918
136,WELL-0001,20240925,567.4,1684.8,698.7,0.0,48,1896,913
137,WELL-0001,20240926,602.4,1831.4,743.6,0.0,20,1883,951
138,WELL-0001,20240927,589.9,1804.5,730.0,0.0,48,1944,658
139,WELL-0001,20240928,513.0,1473.5,636.3,0.0,24,1951,869
140,WELL-0001,20240929,556.5,1698.6,692.0,0.0,36,1996,930
141,WELL-0001,20240930,545.8,1579.0,680.4,0.0,48,2140,753
142,WELL-0001,20241001,566.8,1810.6,708.2,0.0,48,2062,928
143,WELL-0001,20241002,633.9,2007.3,794.1,0.0,24,2002,781
144,WELL-0001,20241003,532.9,1595.9,669.1,0.0,24,2160,803
145,WELL-0001,20241004,583.8,1687.2,734.8,0.0,48,2090,851
146,WELL-0001,20241005,527.1,1589.4,665.0,0.0,32,2192,810
